player	Avg Score	last round	rounds	greens%	events	money	putts	driving	avg putts	birdie average	holes per eagle	birdie conversion	par breaker	driving accuracy					
Lee Janzen	71.21	71.75	23	65.9	6	193697	659	282.1	1.745	4.04	138	32.4	23.2	58.1					
Tim Petrovic	71.21	74	25	61.5	6	148161	724	282.4	1.774	3.72	225	30.1	21.1	63.4					
Peter Jacobsen	71.24	69	19	64.4	5	207401	560	269	1.768	3.84	342	29.4	21.6	74.5					
Scott McCarron	71.29	70.5	23	63.7	2	214893	662	290.6	1.771	3.83	93.6	31	21.3	64.6					
Mark O'Meara	71.29	70.67	20	65.4	5	443289	563	273.8	1.722	4.05	360	32.9	22.8	70					
Rocco Mediate	71.35	70.5	12	64	7	104750	353	278.5	1.724	4.08	72	33.1	24.1	75.8					
Niclas Fasth	71.39	69.75	16	65.1	1	153827	454	289.3	1.746	3.5	288	31.6	19.8	55.2					
Todd Fischer	71.4	70.25	29	61.4	4	210091	823	276.2	1.766	3.76	261	30	21.3	59.8					
Notah Begay III	71.42	75	25	65.1	6	112958	730	277.7	1.752	4.04	450	32.3	22.7	70.4					
Steve Elkington	71.44	70.75	22	62.9	6	73865	649	276.5	1.779	3.86	198	28.8	22	64.6					
Vaughn Taylor	71.5	68	17	58.7	7	62448	500	289	1.795	4.24	306	33	23.9	58.6					
Russ Cochran	71.52	73	23	63.7	5	102824	676	278.6	1.761	3.61	414	28.3	20.3	60.1					
Ryan Palmer	71.53	71.33	26	63.7	7	96596	744	287.7	1.768	3.65	93.6	31	21.4	59.7					
Skip Kendall	71.54	71	21	63.2	5	511300	589	273.5	1.73	3.62	126	29.7	20.9	61.6					
Michael Allen	71.56	70.33	27	65.2	1	114469	767	283.1	1.752	3.74	162	31.7	21.4	51.6					
Omar Uresti	71.61	68.4	19	64.9	6	130370	547	274.5	1.797	3.21	342	26.1	18.1	66.8					
Per-Ulrik Johansson	71.77	69.33	25	64.4	7	146733	711	283.8	1.737	3.64	75	31.7	21.6	62					
Steve Allan	71.9	69	23	63.1	6	50898	675	291.3	1.795	3.65	207	31	20.8	54.1					
Tommy Armour III	71.94	72.17	26	60.1	8	261129	778	289.3	1.829	3.31	234	26	18.8	59.9					
Tom Byrum	72.01	70	18	61.4	4	43407	526	269.7	1.854	2.67	324	22.6	15.1	74.9					
Tripp Isenhour	72.1	70.25	18	59.4	4	51138	523	278.3	1.762	3.39	162	29.6	19.4	61.8					
Steve Pate	72.35	71.5	18	62.3	5	31350	523	282.6	1.781	3.72	324	28.4	21	62.2					
Tommy Tolles	72.68	72.67	13	59.5	2	28526	372	278.4	1.793	3.77	234	33.6	21.4	48.6					
"Lafeber, Maarten"	73	72																	
"Leaney, Stephen"	75	70																	
"Miyase, Hirofumi"	72	73																	
"Sato, Nobuhito"	75	70																	
"Spence, Jamie"	74	71																	
"Sutton, Hal"	75	70																	
"Tomori, Katsuyoshi"	73	72																	
"Verplank, Scott"	72	73																	
"Cabrera, Angel"	74	72																	
"Dunlap, Scott"	68	78																	
"Dyson, Simon"	72	74																	
"Eales, Paul"	74	72																	
"Huston, John"	76	70																	
"Price, Nick"	76	70																	
"Price, Phillip"	75	71																	
"Remesy, Jean-Francois"	69	77																	
"Zerman, Manuel"	78	68																	
"Ballesteros, Severiano"	78	69																	
"Bickerton, John"	75	72																	
"Brooks, Mark"	74	73																	
"Charles, Bob"	72	75																	
"Henning, Nic"	78	69																	
"Janzen, Lee"	75	72																	
"Katayama, Shingo"	71	76																	
"Oldcorn, Andrew"	71	76																	
"Randhawa, Jyoti"	73	74																	
"Scott, Adam"	72	75																	
"Stricker, Steve"	73	74																	
"Sutherland, David"	75	72																	
"Tinning, Steen"	76	71																	
"Torrance, Sam"	72	75																	
"Tryba, Ted"	73	74																	
"Webster, Steve"	74	73																	
"Yeh, Wei-Tze"	77	70																	
"Cejka, Alexander"	78	70																	
"Chapman, Roger"	75	73																	
"Daly, John"	76	72																	
"DiMarco, Chris"	72	76																	
"Donald (Am), Luke"	73	75																	
"Franco, Carlos"	75	73																	
"Khan, Simon"	75	73																	
"Marchbank, Brian"	74	74																	
"Mizumaki, Yoshinori"	74	74																	
"Pavin, Corey"	73	75																	
"Rowe (Am), Philip"	72	76																	
"Sjoland, Patrik"	76	72																	
"Carriles, Jose Manuel"	77	72																	
"Davis, Brian"	72	77																	
"Gossett (Am), David"	71	78																	
"Herron, Tim"	77	72																	
"Lyle, Sandy"	71	78																	
"Ozaki, Naomichi"	79	70																	
"Perry, Christopher"	74	75																	
"Nicklaus, Jack"	77	73																	
"Russell, Raymond"	74	76																	
"Watson, Scott"	76	74																	
"Dwyer, Paul"	76	75																	
"James, Mark"	76	75																	
"Little, Stuart"	79	72																	
"Scherrer, Tom"	77	74																	
"Tway, Bob"	73	78																	
"Han, Kyi Hla"	71	81																	
"Da Silva, Adilson"	79	74																	
"Golding, Phil"	78	75																	
"Karlsson, Robert"	80	73																	
"Lawrie, Paul"	78	75																	
"Harris, Jamie"	76	78																	
"Johnstone, Tony"	79	75																	
"Emerson, Gary"	79	76																	
"Jacobson, Fredrik"	82	73																	
"Player, Gary"	77	79																	
"Affleck, Paul"	76	81																	
"Fichardt, Darren"	81	76																	
"Trevino, Lee"	80	77																	
"Jonzon, Michael"	76	83																	
"Gillies, Colin"	80	80																	
