symbol	open	net change
AVE	73.5	0.22
AVE WS	10.3	0.20
AVL	5.0	-0.18
AVP	46.2	0.44
AVS	0.5	0.00
AVT	20.4	0.33
AVX	17.8	0.91
AVY	47.1	-0.79
AVZ	24.4	-0.30
AW	12.2	-2.54
AWA	2.0	0.00
AWC	0.7	0.04
AWE	14.2	0.39
AWF	9.4	0.09
AWG	10.0	0.16
AWK	40.5	0.07
AWK PRA	23.0	0.00
AWK PRB	0.0	0.00
AWR	34.2	-0.70
AX	0.9	0.01
AXA	21.5	0.31
AXE	25.1	-0.20
AXL	15.0	1.88
AXP	30.0	-0.09
AXP PRA	25.2	0.01
AXR	4.7	-0.04
AYE	36.6	0.02
AZ	23.8	-0.15
AZN	45.6	0.41
AZO	56.5	4.05
AZR	14.6	-0.16
AZZ	19.1	0.50
B	19.8	0.46
BA	33.1	-0.43
BAB	22.0	-0.27
BAC	60.0	0.01
BAC PRY	25.2	0.08
BAC PRZ	25.3	0.09
BAP	8.1	0.20
BAT	11.2	0.01
BAX	48.6	-0.01
BB	0.0	0.00
BBA	2.3	0.06
BBC PRA	22.6	-0.25
BBF	14.5	0.05
BBI	24.0	0.98
BBR	22.9	0.44
BBT	32.8	-0.37
BBV	11.3	0.23
BBV PRA	25.0	-0.02
BBV PRB	25.7	-0.15
BBX	8.2	0.00
BBY	52.8	2.62
BC	18.2	-0.17
BCB PR	26.1	0.09
BCC	29.0	-0.35
BCE	22.3	-0.13
BCF	14.7	0.31
BCM	30.0	0.92
BCR	54.3	0.66
BCS	122.5	2.50
BD	1.0	-0.11
BDF	19.4	-0.06
BDG	26.6	-0.18
BDG A	23.2	-0.09
BDJ	10.4	0.20
BDK	33.2	0.21
BDN	19.6	0.12
BDX	35.1	0.58
BEC	42.6	-0.15
BED	20.7	-0.09
BEI	7.0	-0.14
BEN	31.9	0.46
BER	54.6	-1.09
BEV	7.9	-0.91
BEZ	19.1	-0.04
BF	33.8	-0.45
BF A	61.0	-0.60
BF B	60.0	-0.57
BFC	15.8	0.05
BFH	23.8	0.20
BFK	14.9	-0.13
BFR	8.9	0.12
BFS	19.6	-0.30
BFT	18.3	-0.07
BFZ	14.7	0.05
BG	17.6	0.02
BGC	11.6	0.10
BGE PRA	25.0	0.00
BGG	37.4	0.43
BGP	15.7	0.10
BGS	10.3	-0.25
BGT	9.8	0.01
BGY	14.0	0.65
BHE	16.7	0.51
BHI	36.6	-0.76
BHP	9.1	0.14
BHY	9.2	0.13
BID	13.2	0.16
BIR	0.7	0.14
BJ	50.0	0.87
BJS	26.0	-0.16
BJZ	15.0	0.00
BK	35.0	-0.50
BK PRC	25.6	-0.03
BK PRD	25.1	0.00
BK PRE	25.0	-0.05
BKE	17.2	1.00
BKF	24.9	1.05
BKH	27.8	-0.29
BKI	8.9	0.01
BKN	13.7	0.03
BKS	35.9	1.15
BKT	7.2	0.07
BLB	26.2	-0.30
BLC	17.6	-0.54
BLH	15.0	0.00
BLI	7.9	-0.39
BLK	43.1	0.00
BLL	62.1	-0.70
BLN	15.8	-0.15
BLS	36.9	0.03
BLT	2.9	0.00
BLU	7.2	-0.03
BLX	29.1	0.13
BMC	15.2	-0.08
BMM	2.3	-0.15
BMN	10.6	0.03
BMO	20.8	0.59
BMS	43.7	-0.28
BMT	10.6	0.05
BMY	53.7	-0.21
BMY PR	0.0	0.00
BN	28.0	1.15
BNA	10.4	-0.03
BNE	10.8	-0.41
BNG	19.5	0.55
BNI	27.2	0.49
BNJ	14.9	-0.06
BNK PRA	0.0	0.00
BNL	31.5	0.50
BNN	15.2	-0.03
BNO	1.3	0.00
BNS	0.0	0.00
BNY	14.4	0.24
BOH	23.1	0.21
BOL	33.0	-0.35
BOS	9.9	0.30
BOW	45.3	-0.57
BOX	27.4	-0.90
BOY	7.7	0.40
BP	48.8	0.41
BPC	19.4	0.40
BPC PRA	76.5	1.00
BPK	15.0	0.00
BPL	35.2	-0.10
BPO	16.0	0.07
BPP	4.9	-0.02
BPT	14.4	-0.45
BQT	9.5	0.03
BR	37.5	0.00
BRC	31.9	-0.24
BRE	28.6	0.25
BRE PRA	25.3	-0.19
BRF	15.3	0.01
BRG	19.5	-0.20
BRK A	69800.0	1200.00
BRK B	2334.0	24.00
BRL	74.0	-1.10
BRM	15.8	-0.03
BRO	57.8	-0.11
BRP	27.7	1.35
BRS	0.0	0.00
BRT	10.0	-0.05
BRW	9.4	-0.13
BRW PRB	27.8	0.00
BRX	10.1	0.06
BRY	16.8	0.49
BS	0.3	-0.02
BS PR	1.8	-0.05
BS PRB	0.8	-0.04
BSB	16.1	0.05
BSC	55.7	-1.72
BSC PRA	0.0	0.00
BSC PRE	43.5	0.45
BSC PRF	40.4	0.25
BSC PRG	0.0	0.00
BSC PRX	25.1	0.14
BSC PRY	25.0	0.09
BSD	14.2	0.32
BSF PRC	25.2	0.01
BSF PRD	25.8	0.00
BSF PRE	25.6	-0.10
BSF PRF	25.3	-0.10
BSF PRG	25.3	-0.01
