symbol	open	net change
EQR PRG	24.3	-0.19
EQR PRH	0.0	0.00
EQR PRL	24.6	0.08
EQS	8.4	-0.05
EQT	32.7	0.23
EQY	11.9	0.03
ERE	24.8	0.10
ERF	16.0	-0.09
ERJ	17.3	0.39
ESA	13.0	0.49
ESB PRA	25.6	-0.10
ESB PRB	25.5	0.08
ESE	27.5	0.24
ESF	16.2	-0.18
ESI	38.9	-1.04
ESL	13.7	-0.13
ESR	3.0	0.08
ESS	47.0	0.25
ESV	20.5	-0.56
ET	6.8	-0.23
ETF	6.4	0.09
ETH	32.3	-0.24
ETM	33.0	0.71
ETN	65.5	1.17
ETP	21.8	0.05
ETR	38.7	-0.05
ETS	8.1	-0.02
ETT	8.1	0.19
EV	28.8	-0.80
EVC	10.3	0.40
EVF	7.6	-0.04
EVG	38.6	1.21
EVN	13.7	-0.08
EW	25.2	0.30
EWF	3.5	0.04
EX	0.9	-0.11
EXC	42.0	0.07
EXE A	4.3	-0.08
EXG	28.2	0.21
EY	1.0	-0.02
EYE	11.4	0.37
F	16.1	0.15
F PRB	26.2	-0.06
F PRT	25.6	0.15
FA	2.3	-0.07
FAF	17.0	-0.19
FBA	31.8	-1.50
FBA PRT	0.0	0.00
FBC	23.5	1.85
FBC PRO	25.7	0.20
FBC PRP	0.0	0.00
FBF	33.7	-0.64
FBF PRG	0.0	0.00
FBF PRH	25.1	0.07
FBF PRI	25.3	-0.50
FBF PRJ	25.0	0.04
FBF PRK	27.1	0.48
FBF PRL	24.8	0.05
FBN	24.0	0.08
FBP	27.0	0.52
FBP PRA	0.0	0.00
FBP PRB	26.0	-0.25
FBP PRC	0.0	0.00
FBR	4.9	-0.15
FC	3.6	-0.03
FCE A	48.0	0.45
FCE B	48.3	0.10
FCF	11.9	-0.69
FCH	13.6	0.34
FCH PRA	18.6	0.04
FCH PRB	20.0	-0.33
FCN	28.3	1.35
FCO	9.0	0.09
FCP	5.5	0.00
FCS	20.3	1.35
FCX	10.2	0.88
FCX A	9.8	0.28
FCX PRA	14.3	0.05
FCX PRB	23.0	0.00
FCX PRC	16.9	-0.09
FCX PRD	8.2	-0.08
FD	31.3	0.94
FD WSD	2.9	0.01
FDC	68.0	0.49
FDG	15.0	0.26
FDO	28.0	0.45
FDP	13.1	0.08
FDS	24.9	-0.04
FDX	40.1	0.98
FDY	1.6	-0.09
FE	34.0	0.46
FED	22.4	0.09
FF	11.8	-0.04
FFG	17.0	0.15
FFS	0.9	0.03
FFS A	0.9	0.05
FGP	19.4	0.09
FHR	17.7	0.18
FIA	16.1	0.01
FIA PR	12.0	-2.70
FIA PRA	0.0	0.00
FIC	48.8	-1.20
FIF	24.5	0.53
FIG PRA	25.3	0.03
FIG PRB	0.0	0.00
FII	26.8	-0.58
FIX	2.6	0.22
FJA	2.2	-0.04
FJC	2.5	-0.03
FLA	22.1	-0.16
FLA B	21.2	0.03
FLB	10.9	0.03
FLE	10.0	0.10
FLH	4.0	-0.65
FLM	25.0	-0.64
FLO	39.9	2.73
FLR	38.5	-3.46
FLS	22.6	0.98
FLY	5.6	-0.07
FMC	47.2	0.53
FMI	7.8	0.02
FMK	7.3	0.15
FMO	0.6	0.02
FMS	20.9	-1.74
FMS PR	15.1	-1.50
FMT	5.0	0.05
FMT PR	18.3	0.00
FMX	30.5	0.80
FNF	23.0	0.22
FNL	2.9	0.00
FNM	79.2	1.93
FNM PRB	0.0	0.00
FNM PRC	0.0	0.00
FNM PRF	50.0	0.00
FNM PRG	0.0	0.00
FNM PRH	0.0	0.00
FNV	1.0	-0.01
FO	36.8	-0.08
FO PRA	0.0	0.00
FOB	7.9	-0.29
FOE	22.4	-0.17
FON	20.0	0.01
FOR	7.5	0.03
FOX	20.6	1.56
FPC PRA	24.9	-0.05
FPF	2.3	-0.02
FPL	53.6	-0.32
FR	27.4	0.22
FR PRB	25.0	0.00
FR PRC	25.2	0.05
FR PRD	23.0	0.03
FR PRE	22.5	-0.35
FRC	19.8	0.40
FRE	66.5	1.34
FRE PRB	0.0	0.00
FRE PRC	0.0	0.00
FRE PRD	0.0	0.00
FRE PRF	0.0	0.00
FRE PRG	0.0	0.00
FRE PRH	46.0	0.00
FRE PRK	0.0	0.00
FRE PRL	0.0	0.00
FRE PRM	0.0	0.00
FRE PRN	0.0	0.00
FRE PRO	0.0	0.00
FRE PRP	0.0	0.00
FRE PRQ	0.0	0.00
FRF	7.1	0.10
FRK	28.7	-0.45
FRO	7.7	-0.11
FRT	21.5	0.30
FRT PRA	23.8	-0.04
FRX	73.9	0.52
FS	37.6	0.88
FSA	24.7	0.20
FSD	25.1	0.00
FSH	29.1	0.70
FSS	19.9	0.49
FST	27.4	0.00
FT	7.7	0.00
FTD	15.3	-0.05
FTE	37.0	1.49
FTI	13.4	-0.25
FTN	34.4	0.17
FTO	19.5	-0.51
FTS	33.5	0.10
FUN	19.5	0.35
FUR	2.5	0.00
FUR PRA	0.0	0.00
FVB	45.4	0.08
FVH	23.8	-0.11
FWC	5.5	-0.04
FWC PRA	17.8	-0.25
FWJ	10.5	0.05
G	31.0	0.17
GAB	10.0	0.03
GAB PR	25.5	-0.15
GAB PRB	25.8	0.10
GAI	5.2	0.18
GAJ	23.2	-0.05
GAM	34.1	-0.15
GAM PR	25.8	0.20
GAP	18.1	0.44
GAS	38.7	0.09
GB	28.6	0.25
GBE	3.7	-0.05
GBL	35.6	1.55
GBP	26.9	0.15
GBP PRA	24.7	0.32
GBX	7.9	-0.07
GCH	7.9	0.13
GCI	63.0	0.20
GCO	17.8	1.05
GCS	12.5	0.00
GCS B	10.0	0.02
GCV	10.9	-0.29
GCV PR	25.6	0.14
GCW	6.0	0.13
GD	81.7	0.10
GDF	11.5	0.10
GDI	21.2	-0.25
GDP	5.1	0.03
GDT	41.3	-0.28
GDW	49.6	-0.14
GE	36.6	0.07
GEG	14.3	0.69
GEM	5.2	-0.01
GER	6.6	0.06
GES	5.8	0.21
GET	19.9	1.01
GF	5.7	0.02
GFD	0.6	0.01
GFF	11.6	0.00
GFR	17.6	-0.06
GG	11.9	-0.11
GGB	6.5	0.33
GGC	17.9	-0.19
GGG	32.5	0.50
GGP	36.7	0.15
GGP PRA	24.6	0.35
GGT	8.0	0.06
GGT PR	25.2	-0.08
GGY	0.0	0.00
GHI	13.0	-0.01
GI	8.8	0.30
GIB	6.3	0.06
GID	5.4	0.00
GIL	11.4	0.35
GIM	6.6	0.03
GIS	45.8	0.93
GK	1.5	-0.09
GL	15.9	0.07
GL PRA	25.8	0.12
GLB	16.9	0.50
GLB PRA	19.4	0.00
GLG	3.6	-0.02
GLH	27.0	0.40
GLK	21.0	0.26
GLM	16.2	0.05
GLR PRA	16.7	0.30
GLR PRB	16.4	0.10
GLT	15.0	0.52
GLW	8.1	-0.04
GM	41.8	-0.52
GMA	25.0	0.02
GMH	13.8	-0.05
GMK	2.9	0.08
GMP	16.3	0.17
GMR	9.3	0.10
GMT	26.8	-0.12
GMT PR	0.0	0.00
GMW	24.8	0.08
GNA	1.5	0.01
GNI	70.2	-0.30
GNL	0.4	0.03
GOT	2.6	0.01
GP	28.9	-0.98
GPB	25.6	-0.18
GPC	33.1	-0.37
GPD	24.8	0.50
GPE PRA	24.9	-0.04
GPE PRT	25.1	0.02
GPE PRU	25.2	0.02
GPE PRV	25.0	0.18
GPF	25.6	0.05
GPI	26.6	0.79
GPK	5.1	0.02
GPN	28.4	1.55
GPS	13.2	0.36
GPT	32.6	-0.17
GPU	39.2	0.25
GPW	33.2	-2.45
GPX	3.9	0.04
GR	21.2	0.31
GR PRA	25.3	0.00
GRA	1.6	0.10
GRB	10.5	0.64
GRD	24.5	0.10
GRL	8.5	-0.05
GRM PRA	27.7	0.18
GRO	2.1	0.13
GRP	9.3	-0.11
GRR	5.7	0.14
GRT	16.2	0.18
GRT PRB	23.1	-0.42
GS	81.2	-1.89
GSB	25.9	-0.29
GSE	0.0	0.00
GSH	8.2	-0.09
GSK	54.0	-0.02
GSU PRB	0.0	0.00
GSU PRD	0.0	0.00
GSU PRE	0.0	0.00
GSU PRG	0.0	0.00
GT	18.6	0.17
GTK	40.0	-0.09
GTR	0.0	0.00
GTW	5.7	0.10
GTY	17.0	0.19
GTY PRA	0.0	0.00
GUC	85.5	0.06
GUP PRA	25.0	0.01
GUP PRB	24.9	0.12
GUT	9.1	-0.02
GVA	24.3	0.39
GVT	9.2	0.05
GWF PRT	25.0	-0.10
GWL	25.1	0.01
GWW	42.8	0.38
GX	1.2	-0.02
GXP	23.8	0.11
GXP PRA	0.0	0.00
GXP PRD	0.0	0.00
GXP PRE	63.0	-1.50
GY	12.0	-0.02
HAE	35.9	2.20
HAL	26.3	-1.66
HAN	34.1	0.83
HAR	32.7	0.42
HAS	17.0	-0.38
HAT	14.1	0.05
HAZ	0.9	0.00
HB	52.9	0.15
HBA PRD	0.0	0.00
HBA PRE	0.0	0.00
HBA PRF	0.0	0.00
HBC	55.9	0.99
HBC PR	25.2	-0.15
HBP	4.9	0.00
HC	27.4	0.01
HCA	40.1	-0.18
HCB	12.8	0.18
HCC	27.7	-0.28
HCH	35.9	0.53
HCN	25.2	0.75
HCN PRB	24.8	-0.53
HCP	37.1	0.39
HCP PRA	24.6	-0.02
HCP PRB	25.3	-0.13
HCP PRC	24.9	0.00
HCR	23.8	-0.33
HD	38.0	0.63
HDB	14.8	0.37
HDI	45.3	0.00
HDL	12.4	0.34
HE	37.5	-0.30
HE PRQ	25.0	0.00
HE PRS	25.3	0.18
HE PRT	24.8	0.08
HED	3.5	-0.06
HEI	14.7	0.45
HEI A	11.8	0.10
HET	28.7	0.27
HF PRM	0.0	0.00
HGM	24.8	0.14
HGR	6.1	0.30
HGT	11.4	-0.10
HHS	23.1	0.09
HI	53.5	-1.22
HI PRF	25.8	0.05
HI PRM	0.0	0.00
HI PRN	62.6	1.10
HI PRO	0.0	0.00
HI PRP	24.5	0.12
HI PRS	25.2	0.14
HI PRT	25.1	0.04
HI PRX	28.3	0.01
HI PRY	25.3	-0.03
HI PRZ	0.0	0.00
HIB	15.4	-0.25
HIC	1.4	-0.11
HIF	10.1	-0.04
HIG	54.9	-0.86
HIG PRB	25.2	0.04
HIG PRQ	24.8	-0.01
HIL	1.5	0.18
HIO	7.2	0.06
HIS	3.3	0.06
HIT	70.0	1.36
HIW	23.8	-0.22
HIW PRB	22.8	-0.50
HIW PRD	23.3	0.01
HIX	10.7	0.01
HKF	11.5	0.29
HL	1.1	0.01
HL PRB	9.0	0.01
HLI PRA	24.7	0.12
HLI PRB	25.6	0.00
HLN	23.1	0.00
HLR	10.4	0.07
HLT	8.5	0.10
HM	8.3	-0.08
HMA	19.9	-0.44
HMC	73.6	-1.27
HME	30.4	0.32
HMN	19.1	-0.07
HMT	6.7	0.09
HMT PRA	23.3	-0.10
HMT PRB	23.0	-0.25
HMT PRC	22.6	0.18
HMX	1.8	-0.08
HNI	23.6	0.52
HNP	24.2	0.25
HNT	21.5	0.93
HNZ	42.1	0.39
HNZ PR	0.0	0.00
HON	29.0	0.85
HOT	22.3	-0.01
HOV	11.3	0.30
HP	30.9	-0.35
HPC	7.8	-0.23
HPC PRA	18.0	-0.82
HPG	27.7	0.00
HPN PR	0.0	0.00
HPT	24.8	0.21
HPT PRA	24.8	-0.20
HQH	24.2	0.02
HQL	20.2	0.20
HR	27.8	-0.72
HR PRA	25.2	-0.01
HRB	34.0	0.08
HRC	13.1	-0.18
HRH	57.8	0.08
HRL	23.9	0.08
HRP	8.1	-0.05
HRP PRA	25.2	0.17
HRS	34.1	0.30
HSC	31.6	0.39
HSP	16.5	0.86
HSY	63.8	-0.03
HTB	9.6	0.00
HTH	0.3	-0.04
HTO	9.6	0.12
HTR	8.5	0.01
HTV	17.9	0.74
HU	25.9	0.20
HUB A	26.5	0.10
HUB B	27.1	0.27
HUF	6.0	0.14
HUG	23.3	0.41
HUM	11.6	0.25
HUN	7.1	0.13
HVT	12.0	0.31
HVT A	0.0	0.00
HWK	3.5	-0.29
HWL	11.3	0.55
HWP	17.1	-0.14
HXL	3.5	-0.01
HYB	2.8	-0.03
HYC	5.4	-0.20
HYF	5.9	-0.13
HYI	5.3	-0.09
HYP	5.1	-0.04
HYW	15.1	-0.04
HZO	8.0	-0.05
IAC PRA	25.1	-0.05
IAL	22.5	0.10
IBA	6.3	0.00
IBC	23.5	0.17
IBI	11.1	0.34
IBM	109.6	-0.58
IBN	4.8	0.06
IC	7.0	0.01
ICA	1.8	-0.03
ICB	16.2	0.18
ICI	19.0	-0.64
ICM	0.0	0.00
ICN	24.8	-0.54
ICS	15.3	0.07
IDA	38.0	0.05
IDG	1.4	0.00
IDR	14.1	-0.09
IDT	11.1	0.09
IDT B	9.9	0.19
IEE	3.9	-0.19
IEM	11.2	0.04
IEU	25.1	-0.08
IEX	29.1	-0.07
IF	1.5	0.00
IFC	15.5	0.22
IFC PRN	27.3	-0.09
IFC PRO	0.0	0.00
IFC PRP	25.3	-0.05
IFF	28.1	0.43
IFN	8.5	0.00
IFS	9.2	0.25
IFX	14.9	0.24
IGF	7.5	0.03
IGL	10.6	0.09
IGT	49.6	1.50
IHI	22.6	-0.59
IHP	25.5	0.06
IIC	14.4	0.25
IIF	7.6	0.15
III	0.6	0.04
IIM	14.0	0.18
IIS	16.8	0.03
IIT	7.9	0.22
IKN	9.3	0.44
ILA	19.3	-0.85
IM	12.3	0.40
IMB	14.2	0.09
IMC	21.5	0.34
IMI	21.0	0.31
IMJ	25.0	0.00
IMK	24.9	-0.08
IMN	20.4	0.56
IMR	6.7	-0.39
IMS	15.0	0.08
IMT	15.2	-0.04
IMY	8.0	0.03
IN	2.0	0.10
ING	25.3	-0.04
ING PRA	25.9	-0.03
ING PRB	27.4	-0.06
INT	14.5	1.02
INV	1.9	0.00
IO	8.4	-0.10
IOG	29.8	0.10
IOM	6.7	0.34
ION	23.0	0.51
IOO	56.0	0.10
IP	36.3	-0.75
IPC PRA	0.0	0.00
IPC PRB	0.0	0.00
IPC PRC	0.0	0.00
IPC PRD	36.8	-0.25
IPC PRE	0.0	0.00
IPG	22.0	0.45
IPP	25.0	0.08
IPR	32.1	-0.06
IPS	10.5	-0.30
IPX	11.9	0.45
IQC	13.5	0.02
IQI	14.3	0.13
IQM	13.6	0.06
IQN	13.2	0.07
IQT	15.1	0.02
IQW	20.0	-0.62
IR	37.5	-0.06
IRE	35.2	1.10
IRF	35.0	1.41
IRL	11.0	0.00
IRM	41.6	-2.55
IRS	7.5	0.35
IRT	10.5	0.26
ISA	0.0	0.00
ISH	6.8	0.00
ISL	9.8	0.02
ISP	8.0	0.05
IST	0.8	0.04
IT	9.0	0.05
IT B	8.9	0.12
ITA	6.7	0.04
ITG	64.8	-0.29
ITN	8.8	0.19
ITP	9.4	0.34
ITT	48.1	0.31
ITW	58.0	-0.21
ITX	3.4	0.01
ITX PR	0.0	0.00
ITY	25.0	0.51
IVC	33.5	0.03
IX	45.0	-0.42
IXX	18.5	0.02
J	2.6	0.00
JAS A	4.6	0.00
JAS B	3.0	-0.05
JBL	21.3	0.35
JBX	23.9	0.68
JCC	7.8	0.05
JCD	37.4	-0.98
JCI	72.8	0.82
JCP	21.3	0.45
JDN	10.5	0.29
JDN PRA	23.3	-0.14
JEC	64.3	-0.22
JEF	33.3	0.07
JEM	9.8	0.07
JEQ	5.0	0.05
JFC	6.0	0.01
JFI	6.5	0.07
JH	20.6	-2.33
JHF	35.0	-1.02
JHI	19.6	0.00
JHS	15.0	-0.05
JHX	0.0	0.00
JIT	0.4	0.05
JLG	10.2	-0.30
JLL	14.7	0.25
JNC	47.3	-0.30
JNJ	58.0	0.06
JNY	26.2	1.95
JOE	25.3	0.41
JOF	5.7	0.23
JP	42.1	-0.56
JPM	36.0	-0.15
JPM PRA	83.4	0.35
JPM PRH	0.0	0.00
JPM PRL	0.0	0.00
JPM PRN	22.2	0.15
JPR	20.8	0.20
JPT	25.9	0.00
JRC	16.5	0.68
JRL	25.6	-0.25
JS	19.8	-0.15
JW A	20.3	-0.10
JW B	20.4	-0.15
JWL	8.2	0.04
JWN	14.2	0.00
JYP PR	0.0	0.00
JYP PRZ	25.2	-0.13
K	30.5	0.10
KBH	28.0	1.65
KCC	25.0	-0.25
KCH	24.9	-0.13
KCJ	25.5	0.06
KCN	25.2	0.15
KCO	25.0	0.15
KCP	12.2	-0.45
KCS	3.6	-0.18
KCT	25.0	0.09
KCV	24.9	0.09
KCW	25.3	-0.10
KCX	25.0	-0.03
KCZ	24.5	0.15
KDE	21.1	0.20
KDN	19.0	-0.05
KE	16.8	-0.08
KEF	2.6	0.02
KEG	8.8	0.15
KEI	16.8	0.19
KEM	17.3	0.58
KEP	8.5	0.09
KES	0.0	0.00
KEX	26.0	-0.30
KEY	21.6	-0.26
KF	10.3	0.18
KFS	0.0	0.00
KFT	33.9	0.05
KFY	7.0	0.20
KG	37.3	2.54
KGT	7.2	0.02
KHI	7.2	0.12
KIF	6.0	0.07
KIM	49.2	-0.08
KIM PRA	24.4	-0.03
KIM PRB	25.1	0.00
KIM PRC	25.2	0.22
KIM PRD	30.2	-0.02
KKD	35.0	-0.06
KLM	9.3	0.20
KLT PRT	25.3	0.19
KLU	2.1	-0.18
KM	5.9	0.35
KM PRT	34.2	1.20
KMB	56.3	0.09
KMD	37.9	0.63
KME	4.5	0.11
KMG	57.4	0.20
KMI	49.2	0.31
KMM	8.1	0.10
KMP	37.6	0.79
KMR	37.2	0.39
KMT	34.7	0.12
KMX	17.7	0.82
KNP	63.2	0.38
KO	48.2	-0.28
KOB	0.0	0.00
KOE	0.0	0.00
KOF	19.4	0.74
KOH	24.7	0.00
KOK	24.7	0.00
KOR	4.4	-0.06
KP	15.5	0.09
KPA	6.9	-0.02
KPA PRA	20.0	0.05
KPC	25.5	-0.10
KPN	3.9	0.20
KPP	40.9	0.56
KPT	1.5	0.08
KR	24.3	0.19
KRB	29.6	-1.63
KRB PRA	25.2	0.15
KRB PRB	0.0	0.00
KRB PRC	0.0	0.00
KRC	23.7	-0.10
KRD	24.6	0.10
KRH	24.5	0.00
KRI	57.0	-0.62
KRJ	24.8	0.15
KRK	25.4	0.00
KRL	25.4	0.05
KRT	12.5	0.08
KRT PR	0.0	0.00
KRT PRD	23.0	0.00
KRV	24.8	-0.05
KSA	25.3	0.20
KSE	33.4	-0.22
KSJ	24.9	0.00
KSK	24.4	-0.04
KSL	18.7	0.03
KSM	12.0	-0.01
KSO	25.3	0.23
KSS	55.5	1.01
KST	12.0	-0.12
KSU	12.3	0.15
KSU PR	17.0	-0.50
KT	3.2	0.09
KTB	25.1	-0.05
KTC	20.5	0.53
KTE	27.5	0.15
KTF	11.6	0.02
KTH	25.0	0.30
KTJ	0.0	0.00
KTK	26.0	0.25
KTN	0.0	0.00
KTO	5.5	0.23
KTP	19.7	-0.05
KTR	12.2	0.30
KTS	26.4	0.15
KTV	26.3	0.20
KTX	17.2	-0.20
KTZ	25.8	0.25
KUB	0.0	0.00
KV A	24.9	0.53
KV B	28.6	-0.30
KWD	19.4	0.10
KWK	14.3	0.35
KWR	19.1	-0.56
KYO	68.8	0.90
KYT	7.3	-0.01
L	32.8	0.02
LAB	28.9	0.16
LAD	16.8	-0.04
LAF	34.5	0.93
LAQ	10.7	0.12
LBF	5.4	0.07
LBI	3.1	0.02
LBY	31.5	0.45
LC	40.0	0.19
LD	39.5	-0.08
LDF	8.1	0.15
LDG	22.8	0.08
LDL	8.6	0.04
LDP	3.5	0.15
LE	31.9	0.14
LEA	30.9	-0.08
LEE	33.4	1.05
LEG	22.5	0.17
LEH	64.0	-0.65
LEH PRC	0.0	0.00
LEH PRD	0.0	0.00
LEH PRE	0.0	0.00
LEH PRI	25.5	0.04
LEH PRJ	25.5	0.04
LEN	33.7	2.77
LEO	9.8	0.03
LEQ	25.2	0.01
LFB	11.1	-0.09
LFG	26.7	-0.46
LFL	5.8	0.04
LG	22.8	-0.05
LH	86.8	-0.60
LHO	7.5	0.47
LII	8.8	0.27
LIN	18.8	-0.24
LIZ	45.3	0.70
LLL	86.1	0.77
LLY	77.7	-0.77
LM	42.6	0.05
LMC A	11.9	0.13
LMC B	12.7	0.11
LMM	0.0	0.00
LMS	4.0	0.00
LMT	48.5	0.77
LNC	43.5	-0.85
LNC PR	0.0	0.00
LNC PRY	25.3	0.01
LNC PRZ	24.9	-0.01
LND	12.1	0.00
LNN	17.9	0.59
LNR	27.1	0.40
LNT	29.8	-0.16
LNV	13.6	-0.07
LNY	17.3	0.65
LOD	0.2	-0.01
LOR	1.3	-0.02
LOW	33.0	1.30
LPL PRB	25.2	0.36
LPX	6.9	0.58
LQ	6.1	0.01
LQI	5.1	0.28
LQI PR	19.9	0.04
LQU	10.0	0.05
LR	22.3	0.35
LRT	3.2	0.00
LRW	3.5	0.06
LRY	26.6	0.30
LRY PRA	25.0	0.12
LSH PRA	21.5	-0.07
LSI	16.5	0.83
LSS	16.8	-0.37
LTC	6.0	-0.37
LTC PRA	20.8	-0.10
LTC PRB	19.8	0.00
LTD	10.9	0.22
LTR	51.4	-0.14
LU	6.7	0.20
LUB	6.1	0.03
LUK	29.2	-0.35
LUV	15.8	0.13
LUX	15.8	0.41
LVB	14.8	0.50
LXK	44.5	1.00
LXP	13.9	0.00
LYO	13.5	0.01
LZ	28.5	0.44
LZB	17.7	0.20
MAA	24.6	0.18
MAA PRA	24.9	-0.27
MAA PRB	24.6	-0.08
MAA PRC	24.7	0.11
MAC	23.8	0.57
MAD	2.9	0.02
MAF	13.1	0.05
MAG	9.0	-0.21
MAL	7.1	-0.01
MAN	28.5	0.00
MAR	30.7	0.63
MAS	19.9	-0.03
MAT	19.0	-0.02
MAX	0.0	0.00
MAY	30.9	0.75
MBD	25.2	0.29
MBE	26.9	0.08
MBG	16.9	-0.31
MBI	47.8	-1.16
MBT	27.6	0.68
MC	11.8	0.19
MCA	14.4	0.13
MCC	23.6	0.50
MCD	26.0	0.08
MCH	9.8	-0.26
MCI	24.6	0.35
MCJ	25.1	-0.03
MCK	37.5	-0.07
MCL	7.5	0.00
MCM	0.0	0.00
MCN PRA	25.2	-0.03
MCN PRS	0.0	0.00
MCN PRT	25.3	-0.12
MCO	35.2	-0.32
MCR	8.3	0.06
MCS	12.4	0.40
MCT	39.5	0.15
MCW	25.1	-0.01
MCY	43.7	-0.17
MDA	2.0	0.05
MDC	26.1	0.46
MDG	10.8	0.13
MDP	32.5	0.50
MDR	10.5	0.05
MDS	9.9	0.35
MDT	40.4	-0.08
MDU	23.8	0.52
MDZ	13.3	-0.05
ME PRA	24.9	0.05
ME PRB	25.5	0.22
MEA	27.1	-0.27
MEC PRA	25.1	0.00
MEE	19.7	0.57
MEG	41.6	0.00
MEH	11.1	0.02
MEL	34.1	-0.47
MEN	11.0	0.04
MER	45.0	-0.79
MER PRA	29.8	0.10
MER PRB	26.6	0.01
MER PRC	26.8	0.24
MER PRD	25.0	0.02
MER PRE	25.1	0.10
MER PRF	25.4	0.03
MET	27.0	-0.25
MEU	48.5	0.97
MF	3.4	0.02
MFA	8.2	-0.13
MFC	24.7	-0.09
MFI	9.9	0.04
MFL	14.0	0.20
MFM	7.8	0.09
MFT	14.2	0.03
MFV	14.2	0.20
MFW	4.0	-0.09
MGA	52.5	0.43
MGA PRB	25.9	0.05
MGB	7.0	0.00
MGC	9.9	0.08
MGF	6.7	0.07
MGG	21.7	0.55
MGL	9.8	-0.05
MGM	16.0	0.03
MGS	5.0	0.10
MHC	30.7	-0.13
MHD	14.2	0.03
MHF	8.6	0.00
MHK	43.9	-0.74
MHN	14.1	0.05
MHO	34.5	2.45
MHP	52.8	-0.24
MHU	10.8	0.25
MHX	9.2	0.26
MHY	6.9	-0.07
MI	59.1	-0.32
MIC	14.3	-0.02
MIG	2.8	-0.05
MIJ	9.9	0.00
MIL	51.6	1.19
MIM	13.1	0.38
MIN	6.9	0.06
MIR	26.8	-0.20
MIR PRA	60.1	-0.50
MIU	86.2	-1.13
MIY	14.2	0.05
MJB	25.2	0.00
MJD	24.5	-0.20
MJE	0.0	0.00
MJF	0.0	0.00
MJG	23.0	0.56
MJH	24.9	-0.09
MJI	15.0	0.09
MKC	43.3	0.64
MKC V	44.3	-0.10
MKL	196.0	-0.48
MKT	15.1	0.37
MLI	28.7	0.35
MLM	39.5	0.30
MLR	2.5	-0.06
MLS	21.9	0.29
MM	9.3	0.16
MMA	24.9	0.09
MMC	99.8	-1.52
MME	18.5	0.83
MMH	0.7	0.05
MMM	106.4	-0.98
MMR	6.1	0.10
MMS	41.5	-0.33
MMT	6.0	0.03
MMU	10.7	0.02
MNA	10.4	-0.04
MNC	16.7	1.40
MND	53.3	0.00
MNI	41.5	0.11
MNP	12.9	0.03
MNS	12.2	0.35
MNY	30.6	-0.31
MO	47.5	-0.90
MOG A	22.0	-0.25
MOG B	0.0	0.00
MON	31.3	-0.03
MOT	16.6	0.23
MOT PRA	22.0	0.10
MOV	16.0	0.30
MP PRB	0.0	0.00
MP PRC	0.0	0.00
MP PRD	0.0	0.00
MPA	15.0	0.01
MPH	12.8	0.05
MPR	11.2	0.30
MPS	5.1	0.21
MPT	12.8	-0.08
MPV	9.8	0.05
MPY	25.2	0.25
MQT	12.0	0.09
MQY	14.2	0.10
MRD	13.7	0.04
MRF	8.5	-0.02
MRG	10.4	0.97
MRK	64.7	-0.94
MRO	27.6	0.32
MRR	14.0	0.05
MRX	57.7	0.04
MSB	2.7	-0.13
MSC	9.8	0.00
MSD	7.1	0.06
MSF	7.1	0.08
MSK	3.7	-0.05
MSM	16.8	-0.46
MSO	15.3	2.35
MSV	4.0	0.30
MSY	8.4	-0.09
MTA	15.2	0.35
MTB	65.9	-0.38
MTD	45.8	0.36
MTE WI	0.0	0.00
MTF	7.5	0.09
MTG	53.3	-0.99
MTH	43.5	0.62
MTN	16.2	0.67
MTP	5.8	0.11
MTP PRA	25.0	-0.15
MTR	41.5	-1.24
MTS	18.7	0.03
MTT PRX	22.9	0.04
MTU	10.5	0.01
MTW	27.2	0.31
MTX	41.0	0.01
MTZ	4.4	0.45
MU	22.3	1.68
MUA	12.5	0.07
MUC	14.4	-0.01
MUE	13.1	0.00
MUH	12.8	0.14
MUI	0.7	0.00
MUJ	13.2	0.15
MUK PRA	22.8	-0.10
MUO	11.8	-0.04
MUR	80.3	-0.78
MUS	13.4	0.13
MVC	9.2	0.04
MVK	12.0	0.10
MVL	2.5	0.08
MVT	13.7	0.03
MW	19.1	0.74
MWC	25.3	-0.10
MWD	50.0	-1.00
MWD PRF	0.0	0.00
MWJ	25.2	0.05
MWL	3.9	0.05
MWN	25.7	0.08
MWY	17.0	-1.08
MX	9.2	0.35
MXE	7.7	0.00
MXF	16.4	0.30
MXO	4.9	0.02
MXT	17.9	-1.76
MYC	15.0	0.11
MYD	14.0	0.00
MYE	12.6	0.32
MYF	14.0	0.01
MYG	28.3	-0.02
MYI	14.9	0.11
MYJ	14.4	0.11
MYK	10.6	0.05
MYL	36.7	0.12
MYM	13.9	-0.05
MYN	14.0	0.09
MYS	10.1	-0.08
MZ	12.0	-0.09
N	13.9	-0.13
N PRE	0.0	0.00
NAB	76.5	1.04
NAC	15.0	-0.03
NAD	15.1	0.04
NAE PRT	0.0	0.00
NAN	14.6	0.04
NAP	26.1	-0.05
NAR PR	25.3	0.10
NAU	29.4	-0.16
NAV	30.3	-0.01
NAV PRD	0.0	0.00
NAZ	16.2	-0.01
NB PRA	25.1	-0.02
NBD	26.4	0.15
NBG	5.0	0.86
NBL	37.5	-0.32
NBM	9.8	0.07
NBP	39.2	-0.28
NC	50.0	2.30
NCA	10.0	0.01
NCC	27.2	-0.51
NCF	22.8	-0.05
NCH	46.1	0.40
NCI	3.5	0.20
NCL	15.0	0.14
NCO	15.7	-0.02
NCP	15.5	0.00
